experiment_type,preprocessing,model,best_params,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_precision_spam,test_recall_spam,test_f1_spam,test_f1_macro,test_f1_weighted
baseline,none,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5983835190146592,0.008094753660516386,0.7755410166079517,0.8011204481792717,0.25835591689250226,0.3907103825136612,0.6265704904548566,0.73102791118372
tuned,none,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6483298678681471,0.009400862579365923,0.7863613487669854,0.76875,0.3333333333333333,0.46502835538752363,0.6657793875664233,0.754687746055317
baseline,none,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.774688799338092,0.007538193547834445,0.8389531957725214,0.7568756875687569,0.6214995483288166,0.6825396825396826,0.7873251345941839,0.8337323805971838
tuned,none,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7754545244906097,0.009608030632064437,0.8371917463512834,0.754424778761062,0.6160794941282746,0.678269517652909,0.7846459597696918,0.8317578214016843
baseline,none,random_forest,"{""classifier__bootstrap"": true, ""classifier__ccp_alpha"": 0.0, ""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__max_leaf_nodes"": null, ""classifier__max_samples"": null, ""classifier__min_impurity_decrease"": 0.0, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__min_weight_fraction_leaf"": 0.0, ""classifier__monotonic_cst"": null, ""classifier__n_estimators"": 100, ""classifier__n_jobs"": -1, ""classifier__oob_score"": false, ""classifier__random_state"": 42, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7355804438925018,0.009257246376695056,0.8218419728233518,0.8687615526802218,0.4245709123757904,0.5703883495145631,0.7290036985668054,0.7992510599991018
tuned,none,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 200, ""tfidf__max_features"": 3000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7678551041016164,0.010164222208307315,0.8371917463512834,0.8018372703412073,0.5519421860885275,0.6538255751738897,0.7736967981149923,0.8267852108921288
baseline,none,logistic_regression,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": false, ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__l1_ratio"": 0.0, ""classifier__max_iter"": 2000, ""classifier__n_jobs"": null, ""classifier__penalty"": ""deprecated"", ""classifier__random_state"": 42, ""classifier__solver"": ""lbfgs"", ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7617985804959002,0.01081271217164013,0.8475088072471062,0.8513323983169705,0.5483288166214996,0.667032967032967,0.7840713138036898,0.8359051060322937
tuned,none,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7797841878323313,0.010949346533374149,0.8374433819828888,0.7586980920314254,0.6106594399277326,0.6766766766766766,0.784052624052624,0.8316071452860582
baseline,basic,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5972157932553728,0.00724663224716682,0.7798188223452441,0.8118279569892473,0.2728093947606143,0.4083840432724814,0.6365617851236421,0.7376168494563153
tuned,basic,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6433536584090552,0.006148446683519603,0.7888777050830398,0.7723577235772358,0.34327009936766034,0.47529706066291433,0.6715751329460422,0.7585025127191436
