experiment_type,preprocessing,model,best_params,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_precision_spam,test_recall_spam,test_f1_spam,test_f1_macro,test_f1_weighted
tuned,none,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6483298678681471,0.009400862579365923,0.7863613487669854,0.76875,0.3333333333333333,0.46502835538752363,0.6657793875664233,0.754687746055317
tuned,none,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7754545244906097,0.009608030632064437,0.8371917463512834,0.754424778761062,0.6160794941282746,0.678269517652909,0.7846459597696918,0.8317578214016843
tuned,none,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 200, ""tfidf__max_features"": 3000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7678551041016164,0.010164222208307315,0.8371917463512834,0.8018372703412073,0.5519421860885275,0.6538255751738897,0.7736967981149923,0.8267852108921288
tuned,none,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7797841878323313,0.010949346533374149,0.8374433819828888,0.7586980920314254,0.6106594399277326,0.6766766766766766,0.784052624052624,0.8316071452860582
tuned,basic,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6433536584090552,0.006148446683519603,0.7888777050830398,0.7723577235772358,0.34327009936766034,0.47529706066291433,0.6715751329460422,0.7585025127191436
tuned,basic,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7775815930721356,0.012628289405606615,0.8387015601409159,0.7538126361655774,0.6251129177958447,0.6834567901234568,0.7876173027098796,0.8337477763264132
tuned,basic,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7660731183462054,0.008823849439149416,0.8384499245093106,0.8023407022106632,0.5573622402890696,0.6577825159914712,0.7760256453475143,0.8283930101352939
tuned,basic,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 10000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.779810876032818,0.014435530170978417,0.8417211877201812,0.7643805309734514,0.6242095754290876,0.6872202884137245,0.7906372622799631,0.8364384384260578
tuned,advanced,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6149006751734603,0.005034439391629298,0.7770508303975843,0.7563805104408353,0.2944896115627823,0.42392717815344605,0.6428528246461458,0.7398103329066268
tuned,advanced,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7600348765215019,0.005928800047388032,0.828384499245093,0.7468060394889663,0.5808491418247516,0.6534552845528455,0.7697042309051854,0.8211884144935391
tuned,advanced,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100, ""tfidf__max_features"": 3000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7617100160871665,0.006003442316802235,0.824861600402617,0.7375722543352601,0.5763324299909666,0.6470588235294118,0.7652964800377983,0.8176614210178588
tuned,advanced,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7616259199705789,0.004565337653975559,0.828887770508304,0.7497076023391813,0.5790424570912376,0.6534148827726809,0.7699082432573728,0.821500672661766
